Date,Name,Game,TYPE,BUY-IN,PRIZE,PLAYERS,STATUS
Jun 24 18:00,"₮5 Big Stack, ₮250 GTD",,₮ 5.00,₮ 250.00,44,,Jun 24 18:00
"₮10 Big Stack, ₮450 GTD",,₮ 10.00,₮ 460.00,44,,Jun 24 18:00,"₮100 Big Stack, ₮2000 GTD"
,₮ 100.00,"₮ 2,024.00",16,,Jun 24 18:00,"₮0.5 Daily Micro Turbo, ₮25 GTD",
₮ 0.50,₮ 49.00,45,,Jun 24 18:02,"₮100 Monday Mini-Masters, ₮4000 GTD",,₮ 100.00
"₮ 4,000.00",31,,Jun 24 18:02,"₮500 Monday Masters, ₮10,000 GTD",,₮ 500.00,"₮ 10,000.00"
10,,Jun 24 18:25,30 x ₮1 Ticket Freeroll,,₮ 0.00,₮ 30.00,629
,Jun 24 18:30,"₮250 Daily Supreme, ₮8,000 GTD",,₮ 250.00,"₮ 8,000.00",23,
Jun 24 18:30,"₮30 PKO, ₮500 GTD",,₮ 30.00,₮ 524.40,16,,Jun 24 18:30
"Last Chance to ₮100 Daily BIG HUNDRED, 2 Seats GTD",,₮ 10.00,₮ 209.00,13,,Jun 24 18:50,"₮5 Monday Hyper, ₮150 GTD"
,₮ 5.00,₮ 150.00,21,,Jun 24 19:00,5 x ₮10 Ticket Freeroll,
₮ 0.00,₮ 50.00,725,,Jun 24 19:00,"₮50 Daily PKO, ₮750 GTD",,₮ 50.00
₮ 750.00,16,,Jun 24 19:00,"₮5 Daily PKO Baby, ₮200 GTD",,₮ 5.00,₮ 202.40
36,,Jun 24 19:00,"₮25 Daily PKO Mid, ₮650 GTD",,₮ 25.00,₮ 650.00,16
,Jun 24 19:05,"₮1 PKO, ₮60 GTD",,₮ 1.00,₮ 88.32,86,
Jun 24 19:15,"₮100 BIG Hundo, ₮4,000 GTD",,₮ 100.00,"₮ 4,000.00",27,,Jun 24 19:15
"₮5 NLHE BIG ADD ON, ₮200 GTD",,₮ 5.00,₮ 200.00,17,,Jun 24 19:30,"₮3 PKO Hyper, ₮75 GTD"
,₮ 3.00,₮ 75.00,24,,Jun 24 19:35,"₮20 NLHE BIG ADD-ON, ₮1,250 GTD",
₮ 20.00,"₮ 1,250.00",9,,Jun 24 19:45,"₮10 NLHE BIG ADD-ON, ₮1000 GTD",,₮ 10.00
"₮ 1,000.00",16,,Jun 24 20:00,"₮150 Big Bang, ₮4000 GTD",,₮ 150.00,"₮ 4,000.00"
9,,Jun 24 20:00,"₮15 Big Bang, ₮800 GTD",,₮ 15.00,₮ 800.00,15
,Jun 24 20:00,"₮50 Big Bang, ₮1500 GTD",,₮ 50.00,"₮ 1,500.00",9,
Jun 24 20:00,"₮4 Big Bang, ₮220 GTD",,₮ 4.00,₮ 220.00,11,,In 2 min
"₮50 Monday Mini-Madness, ₮2,500 GTD",,₮ 50.00,"₮ 2,500.00",10,,In 2 min,"₮250 Monday Madness, ₮6,000 GTD"
,₮ 250.00,"₮ 6,000.00",9,,In 15 min,"Last Chance to Daily BIG TWENTY FIVE, 2 Seats GTD",
₮ 3.00,₮ 50.00,5,,In 30 min,"₮300 The Closer, ₮10,000 GTD",,₮ 300.00
"₮ 10,000.00",6,,In 30 min,30 x ₮1 Ticket Freeroll,,₮ 0.00,₮ 30.00
259,,In 30 min,"₮2 NLHE Hyper, ₮75 GTD",,₮ 2.00,₮ 75.00,6
,In 30 min,"₮50 Daily BIG FIFTY, ₮2500 GTD",,₮ 50.00,"₮ 2,500.00",3,
In 30 min,"₮5 Daily BIG FIVE, ₮500 GTD",,₮ 5.00,₮ 500.00,6,,In 45 min
"₮100 Daily BIG HUNDRED, ₮3000 GTD",,₮ 100.00,"₮ 3,000.00",3,,In 45 min,"₮20 Satellite to ₮200 Sunday Special, 2 Seats GTD"
,₮ 20.00,₮ 400.00,0,,In 60 min,"₮300 Big Stack Max, ₮4000 GTD",
₮ 300.00,"₮ 4,000.00",2,,In 60 min,"₮25 Big Stack, ₮1250 GTD",,₮ 25.00
"₮ 1,250.00",0,,In 60 min,"₮5 Big Stack, ₮300 GTD",,₮ 5.00,₮ 300.00
3,,Today 21:30,"₮100 Big Stack, ₮3000 GTD",,₮ 100.00,"₮ 3,000.00",3
,Today 21:30,20 x 2₮ Ticket Freeroll,,₮ 0.00,₮ 40.00,104,
Today 22:00,"₮0.50 Daily Hyper Add-on, ₮30 GTD",,₮ 0.50,₮ 30.00,1,,Today 22:00
"₮25 Daily BIG TWENTY FIVE, ₮1200 GTD",,₮ 25.00,"₮ 1,200.00",0,,Today 22:30,"₮5 NLHE Hyper, ₮200 GTD"
,₮ 5.00,₮ 200.00,0,,Today 22:35,5 x ₮10 Ticket Freeroll,
₮ 0.00,₮ 50.00,0,,Today 22:45,"₮10 PLO, ₮250 GTD",,₮ 10.00
₮ 250.00,0,,Today 23:02,"₮50 Turbocharger, ₮1,000 GTD",,₮ 50.00,"₮ 1,000.00"
0,,Today 23:15,"₮0.5 Daily Micro Big, ₮30 GTD",,₮ 0.50,₮ 30.00,2
,Today 23:30,5 x ₮5 Ticket Freeroll,,₮ 0.00,₮ 25.00,0,
Today 23:30,"₮2 NLHE Hyper, ₮75 GTD",,₮ 2.00,₮ 75.00,0,,Today 23:45
"₮10 NLHE BIG ADD-ON, ₮400 GTD",,₮ 10.00,₮ 400.00,0,,Jun 25 00:02,"₮30 Midnight Run, ₮500 GTD"
,₮ 30.00,₮ 500.00,0,,Jun 25 00:30,"₮1 NLHE Turbo R + A, ₮60 GTD",
₮ 1.00,₮ 60.00,0,,Jun 25 00:45,"₮5 NLHE BIG ADD ON, ₮200 GTD",,₮ 5.00
₮ 200.00,0,,Jun 25 01:00,"₮20 NLHE Turbo, ₮600 GTD",,₮ 20.00,₮ 600.00
0,,Jun 25 01:00,"₮50 NLHE Turbo, ₮600 GTD",,₮ 50.00,₮ 600.00,0
,Jun 25 01:00,"₮5 PKO Hyper, ₮100 GTD",,₮ 5.00,₮ 100.00,0,
Jun 25 01:30,"₮10 PKO, ₮300 GTD",,₮ 10.00,₮ 300.00,0,,Jun 25 02:00
"₮10 NLHE Turbo, ₮200 GTD",,₮ 10.00,₮ 200.00,0,,Jun 25 02:00,"₮30 PKO, ₮500 GTD"
,₮ 30.00,₮ 500.00,0,,Jun 25 02:15,"₮3 NLHE BIG ADD ON, ₮100 GTD Turbo",
₮ 3.00,₮ 100.00,0,,Jun 25 02:30,"₮2 NLHE Hyper, ₮75 GTD",,₮ 2.00
₮ 75.00,0,,Jun 25 02:30,"₮20 NLHE SuperStack, ₮500 GTD",,₮ 20.00,₮ 500.00
0,,Jun 25 02:45,"₮10 NLHE, ₮300 GTD",,₮ 10.00,₮ 300.00,0
,Jun 25 03:00,"₮1 NLHE Turbo R + A, ₮60 GTD",,₮ 1.00,₮ 60.00,0,
Jun 25 03:30,"₮20 PKO, ₮400 GTD",,₮ 20.00,₮ 400.00,0,,Jun 25 03:45
"₮10 NLHE SuperStack, ₮400 GTD",,₮ 10.00,₮ 400.00,0,,Jun 25 03:45,"₮0.5 Daily Micro Turbo, ₮25 GTD"
,₮ 0.50,₮ 25.00,0,,Jun 25 04:00,"₮50 NLHE Turbo, ₮600 GTD",
₮ 50.00,₮ 600.00,0,,Jun 25 04:30,"₮20 NLHE, ₮400 GTD",,₮ 20.00
₮ 400.00,0,,Jun 25 05:00,"₮5 PKO Hyper, ₮100 GTD",,₮ 5.00,₮ 100.00
0,,Jun 25 05:30,"₮2 NLHE Hyper, ₮75 GTD",,₮ 2.00,₮ 75.00,0
,Jun 25 06:00,"₮20 NLHE Turbo, ₮400 GTD",,₮ 20.00,₮ 400.00,0,
Jun 25 06:00,"₮1 NLHE Turbo R + A, ₮60 GTD",,₮ 1.00,₮ 60.00,0,,Jun 25 06:30
"₮5 NLHE Hyper, ₮200 GTD",,₮ 5.00,₮ 200.00,0,,Jun 25 07:00,"₮10 NLHE Turbo, ₮200 GTD"
,₮ 10.00,₮ 200.00,0,,Jun 25 07:30,"₮1 NLHE Turbo R + A, ₮60 GTD",
₮ 1.00,₮ 60.00,0,,Jun 25 07:30,"₮10 NLHE Turbo, ₮200 GTD",,₮ 10.00
₮ 200.00,0,,Jun 25 07:35,"₮0.50 Daily Hyper Add-on, ₮30 GTD",,₮ 0.50,₮ 30.00
0,,Jun 25 08:25,"₮10 NLHE BIG ADD-ON, ₮400 GTD",,₮ 10.00,₮ 400.00,0
,Jun 25 08:30,"₮2 NLHE Hyper, ₮75 GTD",,₮ 2.00,₮ 75.00,0,
Jun 25 08:45,"₮10 NLHE Hyper, ₮200 GTD",,₮ 10.00,₮ 200.00,0,,Jun 25 09:00
"₮5 PKO Hyper, ₮100 GTD",,₮ 5.00,₮ 100.00,0,,Jun 25 09:00,"₮50 NLHE Turbo, ₮600 GTD"
,₮ 50.00,₮ 600.00,0,,Jun 25 09:15,"₮0.5 Daily Micro Turbo, ₮25 GTD",
₮ 0.50,₮ 25.00,0,,Jun 25 09:30,"₮10 PKO, ₮300 GTD",,₮ 10.00
₮ 300.00,0,,Jun 25 09:45,"₮3 NLHE BIG ADD ON, ₮100 GTD Turbo",,₮ 3.00,₮ 100.00
0,,Jun 25 09:55,"₮2 NLHE Hyper, ₮75 GTD",,₮ 2.00,₮ 75.00,0
,Jun 25 10:10,"₮10 NLHE, ₮400 GTD",,₮ 10.00,₮ 400.00,0,
Jun 25 10:15,"₮0.5 Daily Micro Big, ₮30 GTD",,₮ 0.50,₮ 30.00,0,,Jun 25 10:30
"₮2 Satellite to Sunday Special Mini, 3 Seats GTD",,₮ 2.00,₮ 60.00,0,,Jun 25 10:30,"₮15 NLHE Turbo, ₮400 GTD"
,₮ 15.00,₮ 400.00,0,,Jun 25 10:45,"₮50 Big Stack, ₮1000 GTD",
₮ 50.00,"₮ 1,000.00",0,,Jun 25 10:45,"₮25 Big Stack, ₮750 GTD",,₮ 25.00
₮ 750.00,0,,Jun 25 10:45,"₮5 Big Stack, ₮200 GTD",,₮ 5.00,₮ 200.00
0,,Jun 25 11:10,"₮10 NLHE, ₮350 GTD",,₮ 10.00,₮ 350.00,0
,Jun 25 12:15,"₮10 NLHE Hyper, ₮300 GTD",,₮ 10.00,₮ 300.00,0,
Jun 25 13:35,"₮10 NLHE BIG ADD-ON, ₮400 GTD",,₮ 10.00,₮ 400.00,0,,Jun 25 13:45
"₮3 NLHE BIG ADD ON, ₮100 GTD Turbo",,₮ 3.00,₮ 100.00,0,,Jun 25 14:15,"₮3 NLHE BIG ADD ON, ₮100 GTD Turbo"
,₮ 3.00,₮ 100.00,0,,Jun 25 14:45,"₮10 NLHE Hyper, ₮300 GTD",
₮ 10.00,₮ 300.00,0,,Jun 25 14:50,"₮20 NLHE SuperStack, ₮500 GTD",,₮ 20.00
₮ 500.00,0,,Jun 25 15:05,"₮25 Daily Distance - New Structure - Re-Entry, ₮800 GTD",,₮ 25.00,₮ 800.00
0,,Jun 25 15:05,"₮50 Daily Distance - New Structure - Re-Entry, ₮1,250 GTD",,₮ 50.00,"₮ 1,250.00",0
,Jun 25 15:30,₮30 Daily Grand - NEW! ₮1500 GTD,,₮ 30.00,"₮ 1,500.00",0,
Jun 25 15:30,₮3 Daily Grand - NEW! ₮150 GTD,,₮ 3.00,₮ 150.00,0,,Jun 25 15:45
"₮10 NLHE BIG ADD-ON, ₮400 GTD",,₮ 10.00,₮ 400.00,0,,Jun 25 16:05,"₮100 Daily Distance - New Structure - Re-Entry, ₮2,000 GTD"
,₮ 100.00,"₮ 2,000.00",0,,Jun 25 16:30,"₮5 NLHE BIG ADD ON, ₮200 GTD",
₮ 5.00,₮ 200.00,0,,Jun 25 17:02,"₮400 KICKOFF, ₮12,000 GTD",,₮ 400.00
"₮ 12,000.00",0,,Jun 25 17:05,"₮100 Big Stack, ₮2000 GTD",,₮ 100.00,"₮ 2,000.00"
0,,Jun 25 17:15,"₮50 BIG Bounty Fifty, ₮3000 GTD",,₮ 50.00,"₮ 3,000.00",0
,Jun 25 17:30,"₮500 PHOENIX PKO, ₮15,000 GTD",,₮ 500.00,"₮ 15,000.00",0,
Jun 25 17:30,"₮20 NLHE BIG ADD-ON, ₮1,000 GTD",,₮ 20.00,"₮ 1,000.00",0,,Jun 25 18:00
"₮50 Big Stack, ₮1500 GTD",,₮ 50.00,"₮ 1,500.00",0,,Jun 25 18:00,"₮25 Big Stack, ₮900 GTD"
,₮ 25.00,₮ 900.00,0,,Jun 25 18:00,"₮5 Big Stack, ₮250 GTD",
₮ 5.00,₮ 250.00,0,,Jun 25 18:00,"₮10 Big Stack, ₮450 GTD",,₮ 10.00
₮ 450.00,0,,Jun 25 18:02,"₮1000 SUPER Tuesday ₮25,000 GTD",,"₮ 1,000.00","₮ 25,000.00"
0,,Jun 25 18:02,"₮100 PLO, ₮2000 GTD",,₮ 100.00,"₮ 2,000.00",0
,Jun 25 18:02,"₮100 SUPER Tuesday Mini, ₮5,000 GTD",,₮ 100.00,"₮ 5,000.00",0,
Jun 25 18:30,"₮250 Daily Supreme, ₮8,000 GTD",,₮ 250.00,"₮ 8,000.00",0,,Jun 25 19:02
"₮200 SAPPHIRE PLO, ₮4,000 GTD",,₮ 200.00,"₮ 4,000.00",0,,Jun 25 19:05,"₮1 PKO, ₮60 GTD"
,₮ 1.00,₮ 60.00,0,,Jun 25 19:15,"₮100 BIG Hundo, ₮4,000 GTD",
₮ 100.00,"₮ 4,000.00",0,,Jun 25 19:15,"₮25 PLO5 R + A, ₮500 GTD",,₮ 25.00
₮ 500.00,0,,Jun 25 19:35,"₮20 NLHE BIG ADD-ON, ₮1,250 GTD",,₮ 20.00,"₮ 1,250.00"
0,,Jun 26 01:00,"WEB3 Cash Open Freeroll, ₮2500 GTD",,₮ 0.00,"₮ 2,500.00",0
,Jun 26 17:02,"₮400 KICKOFF, ₮10,000 GTD",,₮ 400.00,"₮ 10,000.00",0,
Jun 26 17:15,"₮50 BIG Bounty Fifty, ₮3000 GTD",,₮ 50.00,"₮ 3,000.00",0,,Jun 26 17:30
"₮500 PHOENIX PKO, ₮15,000 GTD",,₮ 500.00,"₮ 15,000.00",0,,Jun 26 17:45,"₮100 Wednesday Main, ₮4,000 GTD"
,₮ 100.00,"₮ 4,000.00",0,,Jun 26 18:02,"₮500 Wednesday Grand, ₮10,000 GTD",
₮ 500.00,"₮ 10,000.00",0,,Jun 26 18:30,"₮250 Daily Supreme, ₮6,000 GTD",,₮ 250.00
"₮ 6,000.00",0,,Jun 26 19:00,Poker Night with Bullyverse Freeroll ₮500 GTD,,₮ 0.00,₮ 4.00
0,,Jun 26 19:15,"₮100 BIG HUNDO, ₮3,000 GTD",,₮ 100.00,"₮ 3,000.00",0
,Jun 26 20:30,"₮300 The Closer, ₮8,000 GTD",,₮ 300.00,"₮ 8,000.00",0,
Jun 26 20:30,"₮100 Midweek Knockout, ₮2000 GTD",,₮ 100.00,"₮ 2,000.00",0,,Jun 26 20:30
"₮20 Midweek Knockout, ₮400 GTD",,₮ 20.00,₮ 400.00,0,,Jun 26 20:30,"₮200 Midweek Knockout Max, ₮4000 GTD"
,₮ 200.00,"₮ 4,000.00",0,,Jun 26 20:30,"₮5 Midweek Knockout, ₮150 GTD",
₮ 5.00,₮ 150.00,1,,Jun 27 17:02,"₮400 KICKOFF, ₮12,000 GTD",,₮ 400.00
"₮ 12,000.00",0,,Jun 27 17:15,"₮50 BIG Bounty Fifty, ₮3000 GTD",,₮ 50.00,"₮ 3,000.00"
0,,Jun 27 17:30,"₮500 PHOENIX PKO, ₮15,000 GTD",,₮ 500.00,"₮ 15,000.00",0
,Jun 27 18:00,"₮10 PKO Thursday PLO, ₮300 GTD",,₮ 10.00,₮ 300.00,0,
Jun 27 18:00,"₮50 PKO Thursday PLO, ₮750 GTD",,₮ 50.00,₮ 750.00,0,,Jun 27 18:00
"₮100 PKO Thursday PLO, ₮1,500 GTD",,₮ 100.00,"₮ 1,500.00",0,,Jun 27 18:02,"₮1000 GRAND SLAM PKO, ₮30,000 GTD"
,"₮ 1,000.00","₮ 30,000.00",0,,Jun 27 18:02,"₮100 PLO, ₮2000 GTD",
₮ 100.00,"₮ 2,000.00",0,,Jun 27 18:05,"₮20 Thursday PKO, ₮800 GTD",,₮ 20.00
₮ 800.00,0,,Jun 27 18:30,"₮250 Daily Supreme, ₮8,000 GTD",,₮ 250.00,"₮ 8,000.00"
0,,Jun 27 19:00,"₮10 PKO Thursday, ₮400 GTD",,₮ 10.00,₮ 400.00,0
,Jun 27 19:00,"₮50 PKO Thursday, ₮1200 GTD",,₮ 50.00,"₮ 1,200.00",0,
Jun 27 19:00,"₮100 PKO Thursday, ₮2500 GTD",,₮ 100.00,"₮ 2,500.00",0,,Jun 27 19:02
"₮150 MOONSHOT PKO, ₮5,000 GTD",,₮ 150.00,"₮ 5,000.00",0,,Jun 27 19:02,"₮200 SAPPHIRE PLO, ₮4,000 GTD"
,₮ 200.00,"₮ 4,000.00",0,,Jun 27 19:15,"₮100 BIG Hundo, ₮4,000 GTD",
₮ 100.00,"₮ 4,000.00",0,,Jun 27 20:00,"₮30 NoMercy Shooting Star, ₮100 Bounty, ₮2,500 GTD",,₮ 30.00
"₮ 2,500.00",0,,Jun 27 20:30,"₮50 Thursday BIG FIFTY, ₮4,000 GTD",,₮ 50.00,"₮ 4,000.00"
0,,Jun 29 16:30,"Last Chance to Saturday Warmup PKO, 2 Seats GTD",,₮ 5.00,₮ 100.00,1
,Jun 29 18:00,"₮5 Saturday Warmup PKO Mini, ₮125 GTD",,₮ 5.00,₮ 125.00,0,
Jun 29 18:00,"₮50 Saturday Warmup PKO, ₮1000 GTD",,₮ 50.00,"₮ 1,000.00",0,,Jun 29 18:00
"₮0.5 Saturday Warmup PKO Micro, ₮25 GTD",,₮ 0.50,₮ 25.00,0,,Jun 29 18:00,"Last Chance to Saturday Special PKO Mini, 2 Seats GTD"
,₮ 1.00,₮ 40.00,1,,Jun 29 19:15,"₮100 BIG Hundo, ₮4,000 GTD",
₮ 100.00,"₮ 4,000.00",0,,Jun 29 20:00,"₮200 Saturday Special PKO Max, ₮8000 GTD",,₮ 200.00
"₮ 8,000.00",0,,Jun 29 20:00,"₮20 Saturday Special PKO Mini, ₮700 GTD",,₮ 20.00,₮ 700.00
0,,Jun 29 20:00,"₮100 Saturday Special PKO, ₮4000 GTD",,₮ 100.00,"₮ 4,000.00",0
,Jun 29 21:00,"₮2 Saturday Special PKO Micro, ₮100 GTD",,₮ 2.00,₮ 100.00,0,
Jun 29 21:30,"₮20 Saturday PKO Turbo, ₮600 GTD",,₮ 20.00,₮ 600.00,0,,Jun 29 21:30
"₮2 Saturday PKO Turbo Mini, ₮75 GTD",,₮ 2.00,₮ 75.00,0,,Jun 29 22:30,"₮10 Saturday Cooldown PKO Hyper, ₮200 GTD"
,₮ 10.00,₮ 200.00,0,,Jun 29 22:30,"₮1 Saturday Cooldown Mini PKO Hyper, ₮30 GTD",
₮ 1.00,₮ 30.00,0,,Jun 30 16:00,"₮1 Sunday Warmup Mini, ₮100 GTD",,₮ 1.00
₮ 100.00,2,,Jun 30 16:00,"₮0.1 Sunday Warmup Micro, ₮25 GTD",,₮ 0.10,₮ 25.00
2,,Jun 30 16:02,"₮1000 KICKOFF HR, ₮80,000 GTD",,"₮ 1,000.00","₮ 80,000.00",0
,Jun 30 17:02,"₮200 Sunday Warmup, ₮20,000 GTD",,₮ 200.00,"₮ 20,000.00",0,
Jun 30 17:15,"₮50 BIG Bounty Fifty, ₮4000 GTD",,₮ 50.00,"₮ 4,000.00",0,,Jun 30 17:30
"₮500 PHOENIX PKO, ₮50,000 GTD",,₮ 500.00,"₮ 50,000.00",0,,Jun 30 18:02,"₮1000 PLO Eclipse, ₮60,000 GTD"
,"₮ 1,000.00","₮ 60,000.00",0,,Jun 30 18:02,"₮150 COINMASTERS, ₮15,000 GTD",
₮ 150.00,"₮ 15,000.00",0,,Jun 30 18:30,"₮1000 FALCON, ₮150,000 GTD",,"₮ 1,000.00"
"₮ 150,000.00",0,,Jun 30 19:00,"₮50 Sunday PLO, ₮800 GTD",,₮ 50.00,₮ 800.00
0,,Jun 30 19:00,"₮10 Sunday PLO, ₮250 GTD",,₮ 10.00,₮ 250.00,0
,Jun 30 19:00,"₮50 BIG FIFTY, ₮8000 GTD",,₮ 50.00,"₮ 8,000.00",0,
Jun 30 19:02,"₮200 Sunday PLO, ₮10,000 GTD",,₮ 200.00,"₮ 10,000.00",0,,Jun 30 19:02
